i getaccept E*A dH rho ddH Q
222 1 4.770006018600540e-01 9.644475949421860e-06 1.000000000000000e+00 NA -0.000000000000000e+00
223 1 4.753205288083113e-01 8.939852602107834e-05 1.000000000000000e+00 NA -0.000000000000000e+00
224 1 4.756474132407706e-01 4.176791544008296e-05 1.000000000000000e+00 NA -0.000000000000000e+00
225 1 4.723906500818341e-01 1.141339007464381e-04 1.000000000000000e+00 NA -0.000000000000000e+00
226 1 4.711724728107359e-01 -8.650798118292613e-05 1.000000000000000e+00 NA -0.000000000000000e+00
227 1 4.769304258267343e-01 -6.290176101497735e-05 1.000000000000000e+00 NA -0.000000000000000e+00
228 1 4.788432269350588e-01 -3.178469253750649e-05 1.000000000000000e+00 NA -0.000000000000000e+00
229 1 4.790160938966089e-01 3.543350358370390e-05 1.000000000000000e+00 NA -0.000000000000000e+00
230 1 4.822211744897604e-01 4.170249682822202e-05 1.000000000000000e+00 NA -0.000000000000000e+00
231 1 4.952832142645534e-01 -8.958393640323692e-05 1.000000000000000e+00 NA -0.000000000000000e+00
232 1 4.818579237410511e-01 1.717707864168361e-04 1.000000000000000e+00 NA -0.000000000000000e+00
233 1 4.673857793771079e-01 1.450669728066956e-04 1.000000000000000e+00 NA -0.000000000000000e+00
234 1 4.721315263015448e-01 -1.905324212181370e-06 1.000000000000000e+00 NA -0.000000000000000e+00
235 1 4.768960601126864e-01 -7.428160336786505e-05 1.000000000000000e+00 NA -0.000000000000000e+00
236 1 4.735945407056301e-01 -7.383977223351934e-05 1.000000000000000e+00 NA -0.000000000000000e+00
237 1 4.655869228540757e-01 1.406626361237784e-04 1.000000000000000e+00 NA -0.000000000000000e+00
238 1 4.722794310164298e-01 -8.211089285570239e-05 1.000000000000000e+00 NA -0.000000000000000e+00
239 1 4.727755597812915e-01 1.192423502516249e-05 1.000000000000000e+00 NA -0.000000000000000e+00
240 1 4.836369648773217e-01 -1.873289390958988e-04 1.000000000000000e+00 NA -0.000000000000000e+00
241 1 4.869388156391925e-01 -3.373793797134539e-05 1.000000000000000e+00 NA -0.000000000000000e+00
242 1 4.834979923890568e-01 5.789357471464029e-05 1.000000000000000e+00 NA -0.000000000000000e+00
243 1 4.778406824955465e-01 7.274335055473813e-05 1.000000000000000e+00 NA -0.000000000000000e+00
244 1 4.719654216096073e-01 5.041728054333561e-05 1.000000000000000e+00 NA -0.000000000000000e+00
245 1 4.730285221016899e-01 -4.852385119491487e-06 1.000000000000000e+00 NA -0.000000000000000e+00
246 1 4.758578844601230e-01 -2.213608753010021e-05 1.000000000000000e+00 NA -0.000000000000000e+00
247 1 4.772567334445850e-01 -1.235166425317402e-05 1.000000000000000e+00 NA -0.000000000000000e+00
248 1 4.743032327349507e-01 6.381962200041613e-05 1.000000000000000e+00 NA -0.000000000000000e+00
249 1 4.712686800275455e-01 6.137837673403368e-05 1.000000000000000e+00 NA -0.000000000000000e+00
250 1 4.763698776428529e-01 -2.658992934723159e-05 1.000000000000000e+00 NA -0.000000000000000e+00
251 1 4.799991805433459e-01 -3.547194978903434e-05 1.000000000000000e+00 NA -0.000000000000000e+00
252 1 4.781698527231433e-01 8.400288156362734e-05 1.000000000000000e+00 NA -0.000000000000000e+00
253 1 4.695938587900839e-01 8.463484258935949e-05 1.000000000000000e+00 NA -0.000000000000000e+00
254 1 4.735754294533539e-01 2.835413630108974e-05 1.000000000000000e+00 NA -0.000000000000000e+00
255 1 4.706055746555269e-01 1.591183793436812e-05 1.000000000000000e+00 NA -0.000000000000000e+00
256 1 4.727941315373089e-01 -3.410757236466111e-05 1.000000000000000e+00 NA -0.000000000000000e+00
257 1 4.765298367312275e-01 -4.915386711346059e-05 1.000000000000000e+00 NA -0.000000000000000e+00
258 1 4.790977114134324e-01 -9.474475581860986e-05 1.000000000000000e+00 NA -0.000000000000000e+00
259 1 4.786088316931404e-01 8.293106390944160e-06 1.000000000000000e+00 NA -0.000000000000000e+00
260 1 4.789154405547650e-01 -4.316120472491747e-05 1.000000000000000e+00 NA -0.000000000000000e+00
261 1 4.819103568665986e-01 -2.814249815674685e-05 1.000000000000000e+00 NA -0.000000000000000e+00
262 1 4.723517848258583e-01 9.337740639825398e-05 1.000000000000000e+00 NA -0.000000000000000e+00
263 1 4.763758508972592e-01 -6.029937727713985e-05 1.000000000000000e+00 NA -0.000000000000000e+00
264 1 4.731537805129249e-01 5.032940070570646e-05 1.000000000000000e+00 NA -0.000000000000000e+00
265 1 4.820008034857205e-01 -6.784405342052935e-05 1.000000000000000e+00 NA -0.000000000000000e+00
266 1 4.781504577392577e-01 7.099296635804109e-05 1.000000000000000e+00 NA -0.000000000000000e+00
267 1 4.752295063218260e-01 9.793816533942845e-05 1.000000000000000e+00 NA -0.000000000000000e+00
268 1 4.714466121253312e-01 -6.502857719858923e-06 1.000000000000000e+00 NA -0.000000000000000e+00
